area,White British,White Irish,Other White,White -Total,Black African,Black Caribbean,Other Black,Black - Total,Bangladeshi,Indian,Pakistani,Other Asian,Asian - Total,Mixed African,Mixed Asian,Mixed Caribbean,Other Mixed,Mixed - Total,Chinese,Other,Chinese or Other -Total,Total
Avon & Somerset,5.8,1.5,5.6,5.7,19.4,38.3,90.2,33.3,1.8,1.4,5.1,16.9,4.4,8.9,2.1,26.4,19.0,15.7,0.6,3.1,1.5,8.3
Bedfordshire,6.6,4.1,9.0,6.6,9.3,24.3,45.4,19.2,10.0,6.4,13.0,10.2,10.0,19.1,9.1,52.5,14.2,28.8,0.9,5.2,2.5,8.4
Cambridgeshire,13.9,8.1,20.0,14.2,16.1,38.3,54.5,29.1,22.8,3.9,29.0,24.8,16.7,42.9,9.2,45.6,36.4,30.7,1.0,5.7,3.2,14.9
Cheshire,5.9,2.2,5.5,5.9,10.9,9.1,88.6,16.1,0.0,2.2,5.9,12.1,4.4,7.7,2.2,8.3,10.4,6.9,0.3,13.4,5.8,6.0
Cleveland,19.3,4.1,4.6,19.1,10.2a,18.9,41.6,13.9,2.0,13.5,7.6,13.9,9.6,16.3,8.3,24.6,19.3,15.7,240.0,9.7,111.3,19.6
Cumbria,19.2,1.3,9.8,19.0,2.5,6.9,80.0,9.7,15.4,9.4,20.1,102.6,26.0,4.6,15.3,4.1,10.1,9.5,1.5,25.8,10.8,19.1
Derbyshire,8.6,2.7,7.4,8.5,14.9,31.4,47.2,26.4,2.6,6.0,17.2,20.9,11.7,15.8,10.6,31.8,18.1,22.0,2.8,3.0,2.9,9.1
Devon & Cornwall,14.1,0.0,6.6,13.9,11.4,29.9,96.9,25.7,7.9,1.3,2.8,20.6,6.5,16.3,5.9,25.6,18.1,15.6,11.7,3.9,8.5,14.7
Dorset,11.5,2.3,9.3,11.3,29.8,113.5,291.3,79.4,12.3,4.7,8.1,28.4,11.5,22.8,9.3,45.9,36.5,27.9,8.1,6.9,7.5,12.1
Durham,15.2,6.2,4.9,15.0,4.2,1.6,11.2,4.0,1.5,1.6,3.5,7.7,3.1,0.0,1.1,2.7,5.8,2.6,0.0,0.0,0.0,14.7
Dyfed-Powys,15.8,2.1,3.4,15.5,11.6,30.9,46.7,21.6,20.9,8.6,0.0,22.5,10.9,67.6,7.5,24.9,47.6,31.9,5.1,11.0,8.3,15.6
Essex,7.3,6.4,9.3,7.3,17.2,28.0,42.8,22.6,15.3,3.7,11.7,12.1,8.4,17.1,7.9,33.9,15.5,18.6,4.2,7.0,5.6,7.8
Gloucestershire,10.1,5.1,9.3,10.0,12.2,32.7,104.5,31.8,19.4,6.0,18.3,15.8,10.4,22.7,15.1,39.2,27.1,28.1,1.5,4.7,3.0,10.4
Greater Manchester,20.2,4.9,7.8,19.6,37.7,93.3,131.8,65.9,16.3,8.7,38.2,40.7,26.9,40.8,18.1,96.0,37.7,54.0,5.5,15.5,9.6,21.6
Gwent,13.8,4.3,7.1,13.7,48.0,91.2,458.4,97.4,19.8,20.2,47.9,61.1,36.6,21.9,15.0,45.2,42.4,33.4,7.5,28.5,17.5,14.4
Hampshire,11.8,4.9,10.7,11.7,43.4,87.5,177.2,66.6,20.3,9.8,14.2,35.4,16.0,22.0,11.5,78.6,21.8,33.2,10.0,14.2,11.8,13.0
Hertfordshire,11.1,8.3,12.7,11.2,23.7,54.3,85.2,40.3,22.9,6.2,40.9,22.9,17.7,33.7,13.2,75.3,29.4,38.5,7.0,8.0,7.5,12.6
