area,White,Black,Asian,Mixed,Chinese or Other,Total
E&W excl. London,12.8,33.8,16.0,21.9,9.1,13.3
England and Wales,14.6,65.2,23.0,28.4,13.8,16.9
Avon and Somerset,15.6,66.9,16.6,31.3,13.3,16.7
Bedfordshire,9.2,20.8,13.5,17.5,2.4,10.3
Cambridgeshire,16.6,55.8,22.7,27.5,7.6,17.3
Cheshire,7.0,25.3,12.0,15.1,11.1,7.2
Cleveland,50.6,117.6,39.8,27.2,23.0,50.2
Cumbria,21.1,37.0,22.9,29.8,94.1,21.4
Derbyshire,6.1,16.1,13.6,16.4,54.8,6.9
Devon and Cornwall,8.6,58.4,9.1,12.9,14.1,8.8
Dorset,11.6,170.5,15.8,30.2,3.1,12.4
Durham,22.1,21.8,10.0,6.9,1.9,21.8
Dyfed-Powys,19.3,79.9,18.5,33.3,12.3,19.5
Essex,5.3,17.9,7.0,17.1,4.1,5.7
Gloucestershire,7.9,43.0,7.8,18.2,14.6,8.4
Greater Manchester,10.5,25.4,15.4,24.5,5.3,11.4
Gwent,7.6,14.7,13.5,5.7,5.8,7.7
Hampshire,16.1,76.0,14.7,27.2,6.8,16.6
Hertfordshire,20.9,55.7,29.4,44.2,27.5,22.9
Humberside,7.9,16.7,12.7,11.4,2.9,8.0
Kent,5.3,29.6,5.3,8.0,32.8,5.9
Lancashire,12.1,23.9,14.1,10.0,2.7,12.2
Leicestershire,4.3,18.8,5.7,10.9,1.9,4.9
Lincolnshire,13.8,49.1,11.2,20.0,4.3,13.9
London,30.6,88.0,34.6,41.4,20.1,38.4
Merseyside,29.1,61.6,17.1,29.4,18.1,29.1
Norfolk,16.6,73.5,24.1,24.1,10.2,17.0
North Wales,8.4,12.2,5.8,9.0,12.4,8.4
North Yorkshire,10.5,61.2,14.3,9.2,7.6,10.8
Northamptonshire,6.8,20.3,9.5,18.3,8.4,7.4
Northumbria,30.3,41.4,26.3,17.7,2.5,29.8
Nottinghamshire,4.8,20.9,6.8,8.5,2.6,5.3
South Wales (5),11.1,33.8,10.7,16.7,6.2,11.3
South Yorkshire,16.9,34.3,31.1,43.7,6.1,17.9
Staffordshire,14.1,43.2,26.6,43.5,8.5,14.9
Suffolk,7.3,13.5,27.4,18.9,16.7,7.8
Surrey,13.7,73.2,11.7,34.3,8.8,14.5
Sussex,10.7,83.5,16.4,16.1,5.9,11.5
Thames Valley,9.3,26.9,14.7,26.0,5.7,10.5
Warwickshire,9.1,55.7,12.3,37.3,6.5,9.9
West Mercia,11.9,86.0,45.1,33.1,10.7,13.0
West Midlands,7.1,20.5,15.0,16.7,7.3,9.5
West Yorkshire,16.4,23.7,22.6,21.0,1.8,17.1
Wiltshire,10.0,64.6,10.3,21.4,9.4,10.6
